"MPSA","p_value","category","effect_size"
0.201062663834403,0.100716100716101,"Not Significant",2.67373220218908
0.425213675213675,0,"Strong Hotspot",6.47888842184535
0.189370017345056,0.0734816449102163,"Not Significant",2.8468842548436
0.0873400207540643,0.618815896188159,"Not Significant",0.385027293875482
0.343036000397448,0,"Strong Hotspot",7.12582268714759
0.239490675668341,0.0689110162794373,"Not Significant",3.57176191350093
0.0688220773466675,0.853805261572252,"Not Significant",0.0800651219911389
0.242662537257824,0.039917966747235,"Strong Hotspot",3.52221216591335
0.250021566597654,0.039917966747235,"Strong Hotspot",3.78240446898236
0.176498367834685,0.123714265446549,"Not Significant",2.57471041967355
0.225812300900194,0.0881265881265881,"Not Significant",3.36892579129412
0.198429891094478,0.0647460647460647,"Not Significant",3.49956040120097
0.0469832251082251,0.870057153928122,"Not Significant",-0.393848844786023
0.0434842836803621,0.82966134451283,"Not Significant",-0.474107479960525
0.115049898978103,0.447627114293781,"Not Significant",0.993775147644543
0.227363542552669,0.0265400535670806,"Strong Hotspot",3.90837658944624
0.166248896452943,0.123714265446549,"Not Significant",2.40534321471624
0.0590800477962708,0.991046431046431,"Not Significant",-0.179623653570584
0.152047019388875,0.178938938938939,"Not Significant",1.94897898298439
0.194325797012364,0.126871057103615,"Not Significant",2.72414873917989
0.103513460459079,0.445842394118256,"Not Significant",0.925277331716765
0.0980479070695436,0.510887357946182,"Not Significant",0.772577545490054
0.113417580982236,0.367471244829735,"Not Significant",1.19343604247196
0.145855144849109,0.142316229272751,"Not Significant",2.13091518617815
0.140138458419025,0.336861132977638,"Not Significant",1.29326309517546
0.137865677815449,0.307882139565308,"Not Significant",1.48405219515179
0.261335854663335,0.0112871492181837,"Strong Hotspot",4.40861125459032
0.299859676656578,0,"Strong Hotspot",6.33348367137696
0.0776411514898357,0.699803251527389,"Not Significant",0.258970959390134
0.136135831381733,0.275290675290675,"Not Significant",1.49850974801262
0.164126296057074,0.151074151074151,"Not Significant",2.35975971551808
0.110633397587343,0.429795012403708,"Not Significant",1.00248215094916
0.175594089720679,0.131908027430415,"Not Significant",2.42481832261117
0.193909218019984,0.178938938938939,"Not Significant",2.16314369461253
0.295855405413778,0,"Strong Hotspot",5.66414996531311
0.221223674655047,0.039917966747235,"Strong Hotspot",3.82181095769153
0.181845099111797,0.0960960960960961,"Not Significant",2.89961028610446
0.283722050827314,0.0195419299896912,"Strong Hotspot",4.43968491123928
0.079286498036498,0.715395808179313,"Not Significant",0.222543156717417
0.086703394274222,0.618815896188159,"Not Significant",0.544105766380385
0.177535201681989,0.113617749981386,"Not Significant",2.56050356345404
0.178270035354164,0.123714265446549,"Not Significant",2.72460351016271
0.0403747355672901,0.628468468468468,"Not Significant",-0.734221568331169
0.0716324697154118,0.760814868922977,"Not Significant",0.197501433448852
0.0873669292710638,0.618419157164545,"Not Significant",0.512988167824889
0.195526245466706,0.0689110162794373,"Not Significant",3.0418540938203
0.141342127817538,0.275290675290675,"Not Significant",1.44037922131745
0.0847840659414047,0.643005995319162,"Not Significant",0.400424471158495
0.178770947801726,0.151074151074151,"Not Significant",2.28473147389193
0.215354387482875,0.0960960960960961,"Not Significant",2.75647378962108
0.157180288468925,0.14963534963535,"Not Significant",2.37269583666431
0.140032477703388,0.235096975428467,"Not Significant",1.65005582000498
0.0746469442776073,0.813424720401465,"Not Significant",0.159860970321648
0.099809524632076,0.459073181064882,"Not Significant",0.876471678603056
0.149843201218579,0.19517654300263,"Not Significant",2.01113630211951
0.105533808914091,0.423939357860063,"Not Significant",1.00673906532676
0.0929276576122595,0.546384846384846,"Not Significant",0.582080597075138
0.213287040801778,0.0344555081397187,"Strong Hotspot",3.60465290889481
0.154208654998037,0.178938938938939,"Not Significant",2.20855390312534
0.195537464194181,0.16820987654321,"Not Significant",2.30107336864195
0.174631947000368,0.194739042840309,"Not Significant",2.08774075018762
0.139515005096812,0.207764650878423,"Not Significant",1.87512061745893
0.259201723238645,0.0195419299896912,"Strong Hotspot",4.58917772160079
0.296428719121679,0.0265400535670806,"Strong Hotspot",4.51249829607119
0.130266861438546,0.224453024453024,"Not Significant",1.7574305964485
0.272765438818065,0,"Strong Hotspot",5.00580701887233
0.134564365089727,0.328924045997217,"Not Significant",1.34783418497252
0.0885818372660478,0.618815896188159,"Not Significant",0.459754736659715
0.27599628579842,0,"Strong Hotspot",5.22616597579696
0.185835956456161,0.194739042840309,"Not Significant",2.11956178258266
0.12772629868533,0.243259653095719,"Not Significant",1.63099177776747
0.19346144435452,0.151074151074151,"Not Significant",2.42444938268123
0.0670275638564997,0.852326352326352,"Not Significant",0.0344797483680584
0.230262446639218,0.0647460647460647,"Not Significant",3.61179445008875
0.270532297117863,0.0195419299896912,"Strong Hotspot",3.93615064330979
0.105732618751726,0.448508082550636,"Not Significant",0.879717522873362
0.10265235928706,0.476354403183671,"Not Significant",0.868563849343053
